source,target,weight
1,7,10
1,16,10
1,14,10
2,7,10
2,8,10
2,6,10
2,9,10
3,8,10
3,9,10
3,10,10
3,12,10
4,10,10
4,12,10
4,13,10
4,15,10
5,6,10
5,13,10
5,15,10
5,14,10
5,16,10
7,26,1
7,24,1
7,25,1
8,23,1
8,22,1
8,21,1
8,24,1
8,25,1
8,26,1
9,23,1
9,22,1
9,21,1
10,17,1
10,18,1
10,19,1
10,20,1
12,17,1
12,18,1
12,19,1
12,20,1
13,31,1
13,32,1
13,33,1
13,34,1
14,27,1
14,28,1
14,29,1
14,30,1
15,31,1
15,32,1
15,33,1
15,34,1
16,27,1
16,28,1
16,29,1
16,30,1
