source,target,weight
MXFURCS2,MXFURDN2,10
MXFURDN1,MXFURDN2,10
MXJCRDN1,MXMERTR3,10
MXJCRDN2,MXJCRTR3,10
MXJCRDN5,MXMERTR3,1
MXJCRDN6,MXJCRTR3,1
MXJCRRR3,MXMERTR3,1
MXJCRRR4,MXMERTR3,1
MXJCRTV1,MXMERTV1,10
MXMERCS1,MXMERDN1,10
MXMERCS2,MXMERDN2,10
MXMERDN1,MXMERDN2,10
MXMERDN3,MXMERTR3,1
MXMERDN5,MXMERTR3,1
MXMERRR4,MXMERTR3,1
MXMERRR5,MXMERTR3,1
MXMERRR7,MXMERTR3,1
MXPARCS1,MXPARDN1,10
MXPARCS2,MXPARDN1,10
MXPARDN1,MXPARDN2,10
MXULRCS1,MXULRDN1,10
MXULRCS2,MXULRDN2,10
MXULRDN1,MXULRDN2,10
SEAMRAG1,SEECRTR2,10
SEAMRAG1,GRVERTR2,10
SEDRRDN1,SEECRTR2,10
SEDRRDN1,MXJCRTR3,10
SEECRDN1,SEECRTR2,10
SEECRDN1,MXJCRTR3,10
TXRRRAG1,VXQURTR2,10
TXRRRAG2,VXQURTR2,10
VADORDN1,VAFORTR2,10
VADORDN2,VAFORTR2,10
VAFORCS1,VAFORDN1,10
VAFORCS2,VAFORDN2,10
VAFORDN1,VAFORTR2,10
VXARRDN1,VXQURTR2,10
VXMFRDN1,VXQURTR2,10
VXMFRDN2,VXQURTR2,10
VXQURCS2,VXQURDN1,10
VXQURDN1,VXQURTR2,10
ALDORAG1,ALDORAG2,10
LEFRRTR2,SXRURAG2,10
BXEURTR3,BXBORCS1,10
BXZFRTR3,BXBORCS1,10
BXEURTR3,BXBORCS2,10
BXZFRTR3,BXBORCS2,10
BXEURRR1,BXZFRTR3,1
BXZFRDN1,BXZFRDN2,10
CRCORAG1,SEECRTR2,10
CRCORAG1,MXJCRTR3,10
CRCORAG2,MXJCRTR3,10
CRCORAG2,SEECRTR2,10
GRCIRDN1,GRVERTR2,10
GRLVRDN1,GRVERTR2,10
GRVERAG1,GRVERTR2,10
JXPARAG1,SEECRTR2,10
MXFURDN1,MXFURPS1,10
MXFURDN2,MXFURPS2,10
MXJCRRR3,MXJCRTR3,1
MXMERDN3,MXMERDN4,10
MXMERDN7,MXMERDN8,10
MXMERGX1,MXMERGX2,10
OXGIRDN1,OXGIRDN2,10
ROU13-HMAD11,ROU14-HMAD11,10
VXQURCS1,VXQURCS2,10
VXQURDN1,VXQURPS1,10
VXQURDN2,VXQURPS1,10
VXQURPS1,VXQURPS2,10
BITORTR1,CXARRDN2,10
LEFRRTR2,CXARRDN2,10
COMCRAG1,SEECRTR2,10
COMCRAG1,MXJCRTR3,10
COMCRAG2,MXJCRTR3,10
COMCRAG2,SEECRTR2,10
JXPARAG1,GRVERTR2,10
TOEGRAG1,TOEGRAG2,10
ZAPCRAG1,ZAPCRAG2,1
LEFRRTR2,POMARAG2,10
IBESRDN1,IBESRDN2,10
IBEXRAG1,IBEXRAG2,10
MXEXRPI3,MXMERPI4,1
MXJCRDN1,MXJCRDN2,10
MXJCRDN3,MXJCRDN4,10
MXULTPE1,MXULTPE2,10
ROU13-HBAR02,ROU14-HBAR02,10
ROU14-HMAD01,ROU14-HMAD11,10
CXARRDN1,LEFRRTR2,10
CXARRDN1,BITORTR1,10
GRCIRDN1,SEECRTR2,10
GRCIRDN2,GRVERTR2,10
MXFURPE6,MXFURPE7,10
MXJCRDN3,MXMERTR3,10
