source,target,weight
ahbz-ltds-z-2,ahbz-zql-z-1,1
sccd-ht-c-1,scsn-wt-z-1,1
scms-lt-z-2,scms-wt-z-1,1
gdgz-xm-c-1,gdzh-scyz-z-1,1
xzls-lw-b-1,xzls-lw-g-1,1
gdcz-fc-z-1,gdcz-xsk-z-2,1
bjbj-fz-c-2,hexa-ax-z-2,1
gsjy-bgl-z-1,gsjy-bgl-z-2,1
jxfz-ltdl-z-1,jxfz-ltdl-z-2,1
qhgl-ywt-z-1,qhgl-ywt-z-2,1
zjhz-hb-b-1,zjjx-hxl-z-1,1
hecd-kfq-z-2,hecd-snl-z-1,1
jslyg-cyzl-z-1,jsnj-jn-b-1,1
gdgz-kxc-c-2,shsh-sb-c-2,1
gzgy-jy-b-1,gztr-xyl-z-1,1
qhxn-fhc-b-2,snxa-dwl-c-2,1
gslz-esn-b-2,gsqy-ltds-z-2,1
gdgz-kxc-c-2,gdzs-xyt-z-2,1
haxx-ltny-z-2,haxx-ymk-z-1,1
bjbj-fz-c-2,shsh-sb-c-2,1
jxnc-ltgc-b-2,zjhz-bj-b-2,1
shsh-chj-c-1,tjtj-jyd-b-1,1
zjqz-cgj-z-2,zjqz-jhsl-z-1,1
jxjj-ltdl-z-2,jxnc-ltgc-b-2,1
gszy-ltds-z-2,gszy-yzjf-z-1,1
ynws-ltzhl-z-1,ynws-ltzhl-z-2,1
gdgz-kxc-c-2,gdmm-yzdl-z-2,1
xjtc-hty-z-1,xjtc-ltdl-z-2,1
gzgy-tpq-b-2,ynyx-by-b-2,1
sccd-ht-c-1,xzls-lw-b-1,1
gdcz-xsk-z-2,gdgz-kxc-c-2,1
hbwh-gs-c-1,hbwh-xgl-c-2,1
sccd-ymk-c-2,ynyx-by-b-2,1
hajy-qyj-z-1,haly-xgl-b-1,1
sccd-ymk-c-2,scsn-lt-z-2,1
nmam-82j2f-z-2,nmam-83j2f-z-1,1
fjxm-rjy-b-2,fjzz-fz-z-2,1
snxa-xgx-c-1,xzls-lw-b-1,1
scmy-ltds-z-2,scmy-xyb-z-1,1
shsh-chj-c-1,zjhz-hb-b-1,1
bjbj-fz-c-2,qhxn-fhc-b-2,1
ahcz-ltxdl-z-2,ahcz-ly-z-1,1
gdgz-xm-c-1,sccd-ht-c-1,1
nmhh-ysn-b-2,nmtl-ylt5f-b-2,1
bjbj-ch-vrr-1,bjbj-fz-c-2,1
gdgz-kxc-c-2,gdyj-yz-z-2,1
sccd-ymk-c-2,scls-jzs-z-2,1
yndh-msgh-z-2,ynyx-by-b-2,1
gdgz-kxc-c-2,gdzs-ltdl-z-1,1
sdqd-lydl-b-1,sdqd-lydl-g-1,1
hnyz-hsl-z-2,hnyz-zhl-z-1,1
haxy-cwc-z-2,haxy-xdl-z-1,1
hncs-gt-b-1,hncz-wlds-z-1,1
fjfz-jyz-b-1,shsh-chj-c-1,1
snxa-xgx-c-1,sxty-ysn-b-1,1
jsnj-jn-b-1,jstz-xq-z-1,1
zjjx-hxl-z-1,zjnb-ltxdl-b-2,1
haay-xyl-z-2,haly-ln-b-2,1
